pharmacy_name,address,city,postal_code,phone,fax
108 STOP PHARMACY,13444 108 Ave,Surrey,V3T 2K1,(604) 957-0711,(604) 953-1700
1HEALTH PHARMACY,112 - 15315 66 Avenue,Surrey,V3S 2A1,(778) 914-5000,(236) 598-3956
360CARE DENMAN PHARMACY,683 Denman St,Vancouver,V6G 2L3,(604) 683-6933,(604) 683-6968
49TH PARALLEL PHARMACY,15229 Russell Ave,White Rock,V4B 5C3,(778) 294-7737,(778) 294-8847
8TH STREET PHARMACY,"Unit 202A, 780 Windsor Avenue",Kamloops,V2B 2B6,(778) 470-9345,(778) 470-9346
AARONSON'S PHARMACY (COOK ST.) LTD.,102-1711 Cook St,Victoria,V8T 3P2,(250) 383-6511,(250) 383-1353
ABBOTSFORD PHARMACY,104 - 2596 McMillan Rd,Abbotsford,V3G 1C4,(778) 314-1014,(778) 314-1016
ABBY PHARMACY,#100 - 2845 Cruickshank Street,Abbotsford,V2T 6X1,(604) 504-0060,(604) 504-0616
ACCURX DRUGSTORE 001,106 - 1849 Dufferin Crescent,Nanaimo,V9S 0B1,(250) 591-2912,(250) 591-2914
ACKROYD PHARMACY,160 - 8100 Ackroyd Rd,Richmond,V6X 3K2,(604) 207-9972,(604) 207-9080
AGASSIZ PHARMACY,7046 Pioneer Ave,Agassiz,V0M 1A0,(604) 491-1070,(604) 491-1071
ALBERNI PHARMACY,4760 Johnston Rd,Port Alberni,V9Y 5M3,(778) 419-3784,(778) 419-3785
ALBERTO PHARMACY # 1,2516 Commercial Dr,Vancouver,V5N 4C2,(604) 873-4111,(604) 873-6734
ALBERTO PHARMACY NO. 2,#101 - 2620 Commercial Dr,Vancouver,V5N 4C4,(604) 879-8481,(604) 879-8482
ALDERGROVE COMMUNITY PHARMACY,27105 Fraser Hwy,Aldergrove,V4W 3R2,(604) 607-7404,(604) 607-7454
ALERT BAY DRUGS,90 Fir Street,Alert Bay,V0N 1A0,(250) 974-5712,(250) 974-2199
ALL CURE PHARMACY,101 - 12827 76 Ave,Surrey,V3W 2V3,(778) 592-2500,(778) 592-2501
ALOUETTE PHARMACY,8 - 11937 227 St,Maple Ridge,V2X 6J4,(604) 467-3784,(604) 467-3714
AMAICARE PHARMACY CLINIC,102 - 1010 Talasa Way,Kamloops,V2H 0G1,(778) 471-9711,(778) 471-9712
ANCHOR COMPOUNDING PHARMACY,105 - 1450 Waddington Rd,Nanaimo,V9S 4V9,(250) 591-4411,(250) 591-4011
ANDERSON'S PHARMACY,127 3rd St W,North Vancouver,V7M 1E7,(604) 988-5271,(604) 998-1271
ANDREEN'S PHARMACY,101 - 879 Anders Road,West Kelowna,V1Z 1K2,(250) 769-2014,(250) 769-2054
APEX PHARMACY,Unit 1A - 32943 Marshall Rd,Abbotsford,V2S 1J8,(604) 870-0171,(604) 870-0172
ARGYLE PHARMACY,3054 3rd Avenue,Port Alberni,V9Y 2A5,778-421-3333,778-421-1919
ARMSTRONG PHARMACY AND WELLNESS CENTRE,#5 - 3300 Smith Drive,Armstrong,V0E 1B1,(250) 546-3195,(250) 546-3894
ASHER PHARMACY & CLINIC,207 Asher Rd,Kelowna,V1X 3H5,(250) 223-0101,(877) 651-0256
ASKEW'S PHARMACY,2701 11 Ave NE,Salmon Arm,V1E 2S3,(250) 832-7655,(250) 832-7656
ASPEN REMEDY'SRX PHARMACY,102 - 2099 152 St,Surrey,V4A 4N7,(604) 560-2720,(604) 560-2722
