pharmacy_name,city,phone,website,email
CLAYTON HEIGHTS CARE FIRST PHARMACY,Surrey,(604) 510-3549,https://carefirstpharmacy.ca/,info@carefirstpharmacy.ca
CLOUD PHARMACY,Vancouver,(604) 558-1690,https://www.canadacloudpharmacy.com/,orders@canadacloudpharmacy.com
COAL HARBOUR PHARMACY,Vancouver,(604) 336-3038,https://coalharbourpharmacy.com/,info@coalharbourpharmacy.ca
COASTAL CARE PHARMACY,Surrey,(604) 588-0484,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #2,Surrey,(604) 589-9064,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #3,Surrey,(604) 283-9002,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COASTAL CARE PHARMACY #4,Surrey,(236) 607-0531,https://coastalcarepharmacy.ca/,compounding@coastalcarepharmacy.ca
COLLINGWOOD PHARMACY,Vancouver,(604) 428-6455,https://idacollingwood.ca/,shop@idacollingwood.ca
COLUMBIA ST. PHARMACY,Kamloops,(778) 471-5971,https://www.columbiastreetpharmacy.ca/,rx.columbiastreetpharmacy@gmail.com
COMMON GOOD PHARMACY,Westbank,(778) 795-0529,https://commongoodpharmacy.ca/,chris@commongoodpharmacy.ca
COMMON GOOD PHARMACY - SUMMERLAND,Summerland,(250) 404-0913,https://commongoodpharmacy.ca/,chris@commongoodpharmacy.ca
COMMUNITY APOTHECARY,Burnaby,(604) 757-1254,https://www.communityapothecary.ca/,communityapothecary@gmail.com
COMOX VALLEY PHARMACY,Comox,(250) 941-6685,https://comoxvalleypharmacy.ca/,info@comoxvalleypharmacy.ca
CRC CARE@HOME PHARMACY,Richmond,(604) 370-1001,https://crccareathome.ca/,crccarehome@gmail.com
CRESCENT PHARMACY INTEGRATIVE HEALTH CENTRE,Richmond,(604) 370-8875,https://crescentpharmacy.ca/,info@crescentpharmacy.ca
CRIDGE FAMILY PHARMACY 3,Victoria,(250) 590-8711,https://www.cridgepharmacy.com/,lily@cridgepharmacy.com
CRIDGE FAMILY PHARMACY 4,Victoria,(250) 940-0223,https://www.cridgepharmacy.com/,lily@cridgepharmacy.com
CROFTON PHARMACY,Crofton,(250) 324-5554,https://croftonpharmacy.com/,info@croftonpharmacy.com
CUSTOM HEALTH PHARMACY CHILLIWACK,Chilliwack,(604) 402-4555,https://customhealth.com/locations/custom-health-pharmacy-chilliwack.html,info@customhealth.com
CUSTOM HEALTH PHARMACY LANGLEY,Langley,(604) 609-4111,https://customhealth.com/locations/custom-health-pharmacy-langley.html,info@customhealth.com
DAVIE PHARMACY,Vancouver,(604) 559-9952,https://www.daviepharmacy.ca/,info@daviepharmacy.ca
DAVIES PRESCRIPTIONS - ST. GEORGES,North Vancouver,(604) 985-8771,https://daviespharmacy.com/,pharmacy@daviesrx.com
DEEP COVE PHARMACY,North Vancouver,(604) 985-3539,https://www.deepcovepharmacy.com/,deepcovepharmacy@gmail.com
DRUGLAND PHARMACY,Burnaby,(604) 636-0666,https://www.druglandpharmacy.ca/,druglandpharmacy@gmail.com
DUNCAN PHARMACY,Duncan,250-597-4100,https://duncanpharmacy.com,info@duncanpharmacy.com
DUNDAS PHARMACY,Vancouver,(778) 379-5095,https://www.dundaspharmacyrx.com,dundas.pharmacy@yahoo.com
ELEMENTS COMPOUNDING PHARMACY,Victoria,(250) 590-6777,https://www.elementspharmacy.ca/,info@elementspharmacy.ca
ELYSIAN PHARMACY LTD.,Surrey,(604) 256-4132,https://www.elysianhealth.ca/,info@elysianhealth.ca
EVERWELL PHARMACY,Vancouver,(604) 563-8282,https://everwellpharmacy.com/,everwellpharmacy@gmail.com
EXPRESS SCRIPTS CANADA PHARMACY,Burnaby,1-855-550-6337,https://pharmacy.express-scripts.ca/,memberinfo@express-scripts.com
FERNIE'S PHARMACY,Fernie,(250) 430-0525,https://ferniespharmacy.ca/,ferniepharmacy@gmail.com
FINLANDIA NATURAL PHARMACY,Vancouver,(604) 733-5323,https://finlandiahealthstore.com/,pharmacist@finlandiapharmacy.com
FIVE CORNERS PHARMACY,White Rock,(778) 545-3700,https://bettermepharmacy.ca/,info@BetterMePharmacy.ca
FORBES PHARMACY - HELMCKEN,Victoria,(778) 265-8181,https://www.forbespharmacy.ca/,helmcken@forbespharmacy.ca
