pharmacy_name,city,phone,fax
108 STOP PHARMACY,Surrey,(604) 957-0711,(604) 953-1700
1HEALTH PHARMACY,Surrey,(778) 914-5000,(236) 598-3956
360CARE DENMAN PHARMACY,Vancouver,(604) 683-6933,(604) 683-6968
AARONSON'S PHARMACY (COOK ST.) LTD.,Victoria,(250) 383-6511,(250) 383-1353
ABBOTSFORD PHARMACY,Abbotsford,(778) 314-1014,(778) 314-1016
ACCURX DRUGSTORE 001,Nanaimo,(250) 591-2912,(250) 591-2914
AGASSIZ PHARMACY,Agassiz,(604) 491-1070,(604) 491-1071
ALBERNI PHARMACY,Port Alberni,(778) 419-3784,(778) 419-3785
ALBERTO PHARMACY # 1,Vancouver,(604) 873-4111,(604) 873-6734
ALBERTO PHARMACY NO. 2,Vancouver,(604) 879-8481,(604) 879-8482
ALOUETTE PHARMACY,Maple Ridge,(604) 467-3784,(604) 467-3714
AMAICARE PHARMACY CLINIC,Kamloops,(778) 471-9711,(778) 471-9712
ANDERSON'S PHARMACY,North Vancouver,(604) 988-5271,(604) 998-1271
ARGYLE PHARMACY,Port Alberni,778-421-3333,778-421-1919
ARMSTRONG PHARMACY AND WELLNESS CENTRE,Armstrong,(250) 546-3195,(250) 546-3894
ASPEN REMEDY'SRX PHARMACY,Surrey,(604) 560-2720,(604) 560-2722
ASTRAL I.D.A. PHARMACY,Vernon,(250) 541-1999,(250) 541-1777
ATLAS DRUG MART,Victoria,(250) 391-2964,(250) 391-2911
BARNET PHARMACY,Coquitlam,(604) 468-4038,(604) 468-4091
BAY PHARMACY,West Vancouver,(604) 305-0330,(604) 281-0330
BC DRUGS PHARMACY,Burnaby,(604) 422-8216,(604) 422-8221
BELL PHARMACY,Surrey,(604) 585-3355,(604) 585-3350
BELMONT PRESCRIPTION X-PRESS,New Westminster,(604) 245-6200,(604) 245-6213
BEST CARE PHARMACY,Pitt Meadows,(604) 262-4949,(604) 398-4937
BEST VALUE PHARMACY #2,Qualicum Beach,(250) 909-0290,(236) 935-2984
BEST VALUE PHARMACY #3,Sooke,(778) 352-5033,(236) 915-2907
BEYOND PHARMACY,Surrey,(604) 245-6069,(604) 245-6102
BEYOND PHARMACY 2,Abbotsford,(604) 529-7600,(604) 529-7603
BIOSCRIPT PHARMACY LTD.,Richmond,(604) 214-3784,(604) 244-3784
BLACK'S PHARMACY,Merritt,(250) 378-2155,(250) 378-4884
BONSOR PHARMACY,Burnaby,(604) 431-8877,(604) 430-4700
BOOMER DRUGS,Vancouver,(604) 266-9010,(604) 568-9838
