Section,Provenance,Statement,Detail,Source
Scope of this report,ASSESSMENT,This report covers all covered markets for July 2026. It is drawn from 149 projects and 314 captured records. Anything outside that geography or period is not covered here.,,
What moved,RECORD,OCVibe: filed to approved,2026-07-13 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3646#item-heb30443bfb8b
Headline finds,RECORD,"OCVibe: 4. Determinar sobre la base de la evidencia presentada por Anaheim Real Estate Partners, LLC, TS Anaheim, LLC y FCD, LLC (OCVIBE), que el propietario de la propiedad ha cumplido de buena fe con los té",2026-07-13 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_7f2f654f7555addc70231de198fa22d9.pdf&view=1#item-h9f002fc7dbca
Headline finds,PRESS,Heart Hotel / Kulik River: Las Vegas Topic Kulik River Capital,2026-07-24 | Clark County,https://news3lv.com/topic/Kulik%20River%20Capital
Headline finds,RECORD,Platinum Triangle / PT Metro: 16. DEVELOPMENT APPLICATION NO. 2026-00022 (DEV2026-00022) GENERAL PLAN AMENDMENT TO THE LAND USE ELEMENT ADJUSTMENT NO. 17 TO THE FESTIVAL SPECIFIC PLAN NO. 90-1 ADJUSTMENT NO. 5 TO THE MOUNTAIN PARK,2026-07-27 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&event_id=1858#item-h8c9905963a9f
Headline finds,RECORD,"Happy Miner resort: 3. UC-25-0896-HAPPY MINER, LLC: USE PERMIT for office as a principal use. WAIVERS OF DEVELOPMENT STANDARDS for the following: 1) reduce setbacks; 2) increase building height; and 3) alternative drivew",2026-07-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:35f66646-63c2-45e2-8052-2833536974fb/original/as/Winchester-Agenda-071426.pdf#item-uc-25-0896
Headline finds,RECORD,CFTOD / Walt Disney World: Approve the First Amendment to Roadway Expansion Land Dedication and Reimbursement Agreement and authorize the District Administrator or her designee to execute same,2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-6.2-p12
Headline finds,RECORD,"Weston Urban: Discussion and possible action to authorize execution of a Master Economic Incentive Agreement between Weston Urban, LLC and the City of San Antonio as a source of funding for public improvements related to the redevelopment of the property located at 322 W. Commerce, for an amount up to $250,000.

",2021-09-20 | San Antonio,https://sanantonio.legistar.com/Legislation.aspx#matter-43966
Headline finds,RECORD,"Nevada Palace resort: ZC-26-0265-NEVADA PALACE, LLC:
ZONE CHANGE to reclassify 29.46 acres from a CR (Commercial Resort) Zone to an RS2 (Residential Single-Family 2) Zone.   Generally located northeast of Boulder Highway and southeast of Harmon Avenue within Sunrise Manor and Whitney (description on file).  JG/gc  (For possible action)",2026-08-04 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110562
Headline finds,PRESS,Top Gun Las Vegas: Top Gun Vegas Locks South Strip Site at 4815 Las Vegas ...,2026-07-26 | Las Vegas,https://deeparrival.com/news/top-gun-vegas-south-strip-site-july-2026/
Headline finds,RECORD,"Western Prelacy Armenian Apostolic Church of LV resort: 4. WS-25-0901-305 CCD, LLC: WAIVER OF DEVELOPMENT STANDARDS to waive full off-site improvements in conjunction BOARD OF COUNTY COMMISSIONERS MICHAEL NAFT, Chair – WILLIAM MCCURDY II, Vice-Chair APRIL ",2026-02-24 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:f1dd22e6-30fe-459c-8feb-265fb4e3af62/original/as/Winchester-Agenda-022426.pdf#item-ws-25-0901
Headline finds,RECORD,"OTR, an Ohio Partnership resort: 5. The General Plan Amendment would change the land use designation within DA 5 from Regional Commercial to Mixed-Use Medium. The Mixed-Use Medium land use designation allows for residential developme",2026-01-12 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3552#item-hcbfb4c6155ca
By market,RECORD,"Clark County | Southern Highlands Golf Club: TM-26-500090-SOUTHERN HIGHLANDS GOLF CLUB:
TENTATIVE MAP consisting of 17 multi-family residential units and common lots on a 1.7 acre portion of 8.05 acres in a C-2 (General Commercial District) Zone within the Southern Highlands Planned Community (PCO) Overlay. Generally located north of Robert Trent Jones Lane and west of Southern Highlands Parkway within Enterprise.  JJ/bb/kh  (For possible action)",2026-08-04 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110520
By market,RECORD,"Clark County | HD Oleta: ORD-26-900429: Introduce an ordinance to consider adoption of a Development Agreement with HD OLETA LLC and LAS VEGAS PAVING CORP for an office/warehouse complex on 9.67 acres, generally located south of Oleta Avenue and west of Jones Boulevard within Enterprise. JJ/tpd (For possible action)",2026-08-04 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110571
By market,RECORD,"Clark County | LV Warm Springs by its General Partner LV Warm Springs LV: ORD-26-900492: Introduce an ordinance to consider adoption of a Development Agreement with LV Warm Springs by its’ General Partner LV Warm Springs  LV Warm Springs CP LLC by Flex GP holding Corp Owner for a warehouse and distribution center on 6.47 acres, generally located west of Tenaya Way and south of Arby Avenue within Spring Valley. MN/rp (For possible action)",2026-08-04 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110572
By market,RECORD,"Clark County | Nevada Palace resort: ZC-26-0265-NEVADA PALACE, LLC:
ZONE CHANGE to reclassify 29.46 acres from a CR (Commercial Resort) Zone to an RS2 (Residential Single-Family 2) Zone.   Generally located northeast of Boulder Highway and southeast of Harmon Avenue within Sunrise Manor and Whitney (description on file).  JG/gc  (For possible action)",2026-08-04 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110562
