Section,Provenance,Statement,Detail,Source
Scope of this report,ASSESSMENT,"This report covers Altamonte Springs, Anaheim, Atlanta, Bonita Springs, Central Florida Tourism Oversight District, Clark County, Kissimmee, Lake Buena Vista, Las Vegas, Miami-Dade County, Nashville, Oakland, Phoenix, San Antonio, South Florida, Walt Disney World for July 2026. It is drawn from 29 projects and 86 captured records. Anything outside that geography or period is not covered here.",,
What moved,RECORD,OCVibe: filed to approved,2026-07-13 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3646#item-heb30443bfb8b
Headline finds,RECORD,"OCVibe: 4. Determinar sobre la base de la evidencia presentada por Anaheim Real Estate Partners, LLC, TS Anaheim, LLC y FCD, LLC (OCVIBE), que el propietario de la propiedad ha cumplido de buena fe con los té",2026-07-13 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_7f2f654f7555addc70231de198fa22d9.pdf&view=1#item-h9f002fc7dbca
Headline finds,PRESS,Heart Hotel / Kulik River: Las Vegas Topic Kulik River Capital,2026-07-24 | Clark County,https://news3lv.com/topic/Kulik%20River%20Capital
Headline finds,RECORD,"CFTOD / Walt Disney World: Approve the District Administrator to execute a Non-exclusive temporary easement with permanent easement to Walt Disney Parks & Resorts, U.S. Inc for underground communication lines",2026-01-23 | Central Florida Tourism Oversight District,https://www.oversightdistrict.org/wp-content/uploads/2026/01/1-23-2026-BOS-Agenda-Packet-FINALcs.pdf#item-6.4-p146
Headline finds,RECORD,"Weston Urban leisure development: Discussion and possible action to authorize execution of a Master Economic Incentive Agreement between Weston Urban, LLC and the City of San Antonio as a source of funding for public improvements related to the redevelopment of the property located at 322 W. Commerce, for an amount up to $250,000.

",2021-09-20 | San Antonio,https://sanantonio.legistar.com/gateway.aspx?M=l&ID=43966
Headline finds,RECORD,"World Buddhism Association Headquarters & MGM-Grand Bally's integrated resort: 4. AR-26-400041 (UC-25-0544)-WORLD BUDDHISM ASSOCIATION HEADQUARTERS & MGM-GRAND BALLY'S, LLC LEASE: USE PERMIT FIRST APPLICATION FOR REVIEW for a recreational or entertainment facility. DESIGN REVIEW",2026-07-14 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:35f66646-63c2-45e2-8052-2833536974fb/original/as/Winchester-Agenda-071426.pdf#item-ar-26-400041+uc-25-0544
Headline finds,RECORD,"Toll South LV leisure development: ORD-26-900159: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with Toll South LV LLC for a single-family residential subdivision on 0.89 acres, generally located east of Hinson Street and north of Silverado Ranch Boulevard within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/gateway.aspx?M=l&ID=110431
Headline finds,RECORD,"BDA South leisure development: ORD-26-900280: Conduct a public hearing on an ordinance to consider adoption of a Development Agreement with BDA South, LLC for a vehicle wash on 1.08 acres, generally located north of Wigwam Avenue and east of Arville Street within Enterprise. JJ/tpd (For possible action)",2026-07-21 | Clark County,https://clark.legistar.com/Legislation.aspx#matter-110432
Headline finds,RECORD,"12802 Old Hickory Boulevard mixed-use development: An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from AR2a to SP zoning for property located at 12802 Old Hickory Boulevard, approximately 148 feet southwest of Logistics Way (3.6 acres), to permit a mixed use development, all of which is described herein (Proposal No. 2026SP-025-001).",2026-08-03 | Nashville,https://nashville.legistar.com/gateway.aspx?M=l&ID=20788
